Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
43,III. Angiosperms,Cymodoceaceae,Cymodoceaceae,Syringodium,Syringodium,Syringodium isoetifolium,,Syringodium isoetifolium,(Asch.) Dandy,"Distributed in Guangdong and dong sand archipelagos; Asia, Africa and Oceania also found.",Occurs in hot band shallow sea mud textured seabed.,"Perennial seagrass, geophyte",Plant height 20–30 cm,"Rhizome slender slender; leaves 2–3 alternate, leaf blade awl-shaped-shaped acicular, long 7–10 cm, wide 1–2 mm; cyme branched; fruit oblique obovate, with beak.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
44,III. Angiosperms,Pandanaceae,Pandanaceae,Pandanus,Pandanus,Pandanus kaida,,Pandanus kaida,Kurz,Distributed in Guangdong and Hainan; Southeast Asia and South Asia also found.,"Occurs in seashore sandy land, open wild or forest interior.","Evergreen shrub or small tree., phanerophyte",Plant height 1–3 m,"Stem much-branched, without qi roots; leaves band-shaped, margin with spiny; male inflorescence spike-shaped, female inflorescence head-shaped; clustered flower fruit elliptic, drupe bundles 2–3 locules, persistent stigma 2, forked. Flowering period May–June.",Salt-excluding halophyte,Hygrophytic,"Unknown, 200 mM (estimated value)",0,C3,"Ornamental, ecological use",Supplemented based on field surveys
45,III. Angiosperms,Pandanaceae,Pandanaceae,Pandanus,Pandanus,Pandanus tectorius,,Pandanus tectorius,Parkinson ex Du Roi,Distributed in South China and Southwest China; Southeast Asia and Oceania also found.,Occurs in coastal shrubland or sandy beach.,"Evergreen shrub or small tree, phanerophyte",Plant height 2–5 m,"Stem much-branched, with aerial roots; clustered flower fruit round head-shaped, drupe bundles 4–12 locules, persistent stigma appearing papillae-shaped. Flowering period January–May.",Salt-excluding halophyte,Hygrophytic,"Unknown, 200 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C3,"Medicinal, ornamental, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
46,III. Angiosperms,Pandanaceae,Pandanaceae,Pandanus,Pandanus,Pandanus odorifer,,Pandanus odorifer,Otto Kuntze,"Distributed in Taiwan, Guangdong, Guangxi, Hainan.",Occurs in seashore sandy land.,"Evergreen shrub or small tree, phanerophyte",Plant height 2–5 m,"Stem much-branched, with aerial roots; leaves narrower, leaves apex becoming narrow and with long tail bian, up to 15 cm; ovary (4-)5-6(-7) locules; fruit relatively small, subglobose, long about 8 cm, diameter 8 cm, consisting of 50-60 drupe bundles composed of, each one drupe bundles long about 2.5 cm, wide about 2 cm.",Salt-excluding halophyte,Hygrophytic,1000 mM,Salinity tolerance value from database,C3,"Medicinal, ornamental, ecological use","eHALOPH; Chinese Halophytes, 2nd edition"
47,III. Angiosperms,Pandanaceae,Pandanaceae,Pandanus,Pandanus,Pandanus utilis,,Pandanus utilis,Bory,"Native to Africa, China South China coastal areas introduced and cultivated.",Occurs in seashore sandy soil.,"Evergreen shrub or tree, phanerophyte",Plant height 2–5 m,"Stem sparsely branched, with aerial roots; leaves margin with red spiny; clustered flower fruit nearly round spherical-shaped, drupe bundles 4–6 locules, persistent stigma ma ti-shaped. Flowering period May–August; fruiting period November–December.",Salt-excluding halophyte,Hygrophytic,"Unknown, 200 mM (estimated value)",0,C3,"Ornamental, ecological use",Supplemented based on field surveys
48,III. Angiosperms,Iridaceae,Iridaceae,Iris,Iris,Iris spuria subsp. halophila,,Iris spuria subsp. halophila,(Pall.) C.E.Lundstr.,"Distributed in Gansu and Xinjiang, Beijing and elsewhere cultivated; western Asia and Europe also found.","Occurs in meadow, gravelly sloping ground or moist saline-alkaline land.","Perennial herb, geophyte",Plant height 20–60 cm,"Rhizome thickened horizontally creeping; leaves wide 1–2 cm; flower yellow, outer tepals ti qin shape, style branched flattened segments-shaped; capsule with 6 strips wings-shaped ridges. Flowering period May–June, fruiting period July–August.",Euhalophyte (salt-loving plant),Mesophytic,257 mM,Salinity tolerance value from database,C3,"Ornamental, medicinal, ecological use","eHALOPH; Handbook of Halophytes 21, 539; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
49,III. Angiosperms,Iridaceae,Iridaceae,Iris,Iris,Iris spuria var. sogdiana,,Iris spuria var. sogdiana,(Bunge) Baker,"Distributed in Gansu and Xinjiang; Mongolia, Russia and Central Asia also found.","Occurs in meadow, gravelly sloping ground or moist saline-alkaline land.","Perennial herb, geophyte",Plant height 20–60 cm,"Flowers bluish purple, or tepals upper part is bluish purple, zhao part is yellow.",Euhalophyte (salt-loving plant),Mesophytic,"Unknown, 257 mM (estimated value)",0,C3,"Ornamental, medicinal, ecological use","Chinese Halophytes, 2nd edition"
50,III. Angiosperms,Iridaceae,Iridaceae,Iris,Iris,Iris lactea var. chinensis,,Iris lactea var. chinensis,(Fisch.) Koidz.,Widely distributed northern China regions; widely distributed in arid regions of Asia.,Occurs in wasteland or saline-alkaline flats.,"Perennial herb, geophyte",Plant height 20–60 cm,"Rhizome woody and obliquely spreading, covered with fibers; leaves wide 4–6 mm; flowers pale blue, blue or bluish purple, outer tepals oblanceolate; capsule long, with 6 ribs. Flowering period May–June, fruiting period June–September.",Salt-excluding halophyte,Mesophytic,350 mM,Salinity tolerance value from database,C3,"Ornamental, medicinal, ecological use, soil and water conservation, fiber","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
51,III. Angiosperms,Iridaceae,Iridaceae,Iris,Iris,Iris loczyi,,Iris loczyi,Kanitz,"Distributed in Northwest China, Sichuan and Tibet; xi tian mountain mountain veins and elsewhere also found.",Occurs in alpine areas toward sunny grassland.,"Perennial herb, geophyte",Plant height 20–40 cm,"Old leaf sheath persistent; leaves jian ren, narrow linear, wide about 3 mm; flower stem shorter, with 1-2 flowers flower, flowers bluish purple, diameter 5.5-7 cm, perianth lobes oblanceolate, middle part with white veins; fruit long obovate to cylindrical. Flowering period May–June, fruiting period July–September.",Salt-excluding halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C3,"Ornamental, ecological use",Supplemented based on field surveys
52,III. Angiosperms,Orchidaceae,Orchidaceae,Dactylorhiza,Dactylorhiza,Dactylorhiza hatagirea,,Dactylorhiza hatagirea,(D.Don) Soó,"Distributed in Northeast China, North China, Northwest China and Southwest China; northern Asia and western part also found.",Occurs in moist meadow.,"Perennial herb, geophyte",Plant height 12–40 cm,"Succulent tuber palmately divided; leaves wide 1.5–3 cm; inflorescence spike-shaped, flower purplish red, lip lobes with spots striations. Flowering period June–August.",Neo-halophyte,Hygrophytic,"Unknown, 200 mM (estimated value)",0,C3,"Ornamental, ecological use","Chinese Halophytes, 2nd edition"
53,III. Angiosperms,Amaryllidaceae,Amaryllidaceae,Allium,Allium,Allium polyrhizum,,Allium polyrhizum,Turcz. ex Regel,"Distributed in Northeast China, North China and Northwest China; Mongolia, Russia and Central Asia also found.","Occurs in steppe salinized and alkalized sandy land, grassland or dry slopes.","Perennial herb, geophyte",Plant height 10–35 cm,"Scales stem compact clustered forming tuft, with fiber; leaves half round column-shaped, coarse 0.25–1 mm; umbel half spherical-shaped, flower purplish red, filaments connate at the base forming tube-shaped. Flowering and fruiting period June–August.",Salt-excluding halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C3,"Wild vegetable, ecological use",Supplemented based on field surveys
54,III. Angiosperms,Asparagaceae,Asparagaceae,Asparagus,Asparagus,Asparagus dauricus,,Asparagus dauricus,Fisch. ex Link,"Distributed in Northeast China and North China; Mongolia, Korea and Russia also found.",Occurs in sand dunes or dry slopes.,"Perennial herb, geophyte",Plant height 30–70 cm,"Plant soft, stem straight, green; leaves-shaped branches slightly arcuate curved, not is spiny-shaped, usually oblique li; berry at maturity red. Flowering period May–June, fruiting period July–September.",Salt-excluding halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C3,"Ornamental, ecological use",Supplemented based on field surveys
55,III. Angiosperms,Asparagaceae,Asparagaceae,Asparagus,Asparagus,Asparagus gobicus,,Asparagus gobicus,N.A.Ivanova ex Grubov,Distributed in Northwest China; Mongolia also found.,Occurs in sandy land or mostly sand wilderness.,"Subshrub, geophyte",Plant height 15–45 cm,"Plant structure jian ting, stem jiong bent, white; leaves-shaped branches slightly gang stiff, sometimes mostly few used as spiny-shaped, generally spreading or lower inclined. Flowering period May, fruiting period June–September.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
56,III. Angiosperms,Asparagaceae,Asparagaceae,Asparagus,Asparagus,Asparagus breslerianus,,Asparagus breslerianus,Schult. & Schult.f.,"Distributed in Northwest China; Mongolia, Russia and Central Asia also found.","Occurs in saline-alkaline land, Gobi gravel desert, riverbanks or wasteland.","Climbing perennial herb, geophyte",Plant height 30–100 cm,"Roots slender and long or slightly swollen large, coarse 2–5 mm; branched and leaves-shaped branches without cartilaginous textured teeth; pedicel long 6–25 mm. Flowering period May, fruiting period August.",Salt-excluding halophyte,Xerophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
57,III. Angiosperms,Asparagaceae,Asparagaceae,Asparagus,Asparagus,Asparagus brachyphyllus,,Asparagus brachyphyllus,Turcz.,"Distributed in Northeast China, North China and Northwest China; Korea also found.","Occurs in seashore, moist salinized and alkalized sandy land or slopes.","Climbing perennial herb, geophyte",Plant height 20–100 cm,"Roots succulent, round column-shaped, coarse 7–15 mm; branched and leaves-shaped branches with cartilaginous textured teeth. Flowering period May–June, fruiting period August.",Salt-excluding halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Handbook of Halophytes 538
58,III. Angiosperms,Arecaceae,Arecaceae,Nypa,Nypa,Nypa fruticans,,Nypa fruticans,Wurmb,Distributed in Hainan; Asia tropical regions and Oceania also found.,Occurs in hot band rivers into sea mouth mudflat or seashore mangrove forest.,"Tufted palm, phanerophyte",Plant height 2–4 m,"Leaves pinnatisect, petiole hard and coarse, pinnae numerous, regular arranged; inflorescence short on leaves; infructescence round head-shaped, fruit drupe-shaped, with six ridges. Flowering period July, fruiting period March.",Salt-excluding halophyte,Aquatic or hygrophytic,650 mM (57.2 dS/m),Salinity tolerance value from database,C3,"Fruit, windbreak, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
59,III. Angiosperms,Arecaceae,Arecaceae,Cocos,Cocos,Cocos nucifera,,Cocos nucifera,L.,"Distributed in Guangdong, Hainan, Taiwan and Yunnan; hot band coastal areas widely distributed.",Occurs in seashore sandy land.,"Tree-shaped palm, phanerophyte",Plant height 15–30 m,"Stem with ring-shaped leaves hen; leaves pinnatisect, long 3–4 m; fruit ovate spherical-shaped, base with 3 kong, fruit qiang containing with endosperm, embryo and sap ye (ye zi water). Flowering and fruiting period autumn to winter.",Salt-excluding halophyte,Mesophytic; psammophytic,500 mM (seawater salinity); 100 mM (10 dS/m),Salinity tolerance value from database,C3,"Fruit, ecological use",eHALOPH
60,III. Angiosperms,Commelinaceae,Commelinaceae,Murdannia,Murdannia,Murdannia vaginata,,Murdannia vaginata,(L.) G.Brückn.,"Distributed in Guangdong, Guangxi and Hainan; Southeast Asia and South Asia also found.",Occurs in coast sandy land.,"Perennial herb, hemicryptophyte",Plant height 15–50 cm,"Stem often branched; leaves he leaves-shaped, long 4–10 cm, glabrous; leaf sheath with jie hairs; flowers small, blue, 1–5 flowers clusters borne on sheath-shaped involucral bracts inner; capsule spherical-shaped. Fruiting period August–September.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
61,III. Angiosperms,Pontederiaceae,Pontederiaceae,Monochoria,Monochoria,Monochoria korsakowii,,Monochoria korsakowii,Regel & Maack,"Distributed in Northeast China, North China, Central China and East China; Asia other areas regions also found.","Occurs in ponds, lakes and marshes or rice fields.","Perennial herb, geophyte",Plant height 30–70 cm,"Plant smooth glabrous, basal leaves wide ovate-shaped cordate, petiole very long, sometimes swollen large forming sac-shaped; raceme terminal, flowers blue; capsule long ovate orbicular. Flowering period July–August, fruiting period September–October.",Neo-halophyte,Aquatic or hygrophytic,"Unknown, 100 mM (estimated value)",0,C3,Ornamental,Supplemented based on field surveys
62,III. Angiosperms,Typhaceae,Typhaceae,Sparganium,Sparganium,Sparganium stoloniferum,,Sparganium stoloniferum,(Buch.-Ham. ex Graebn.) Buch.-Ham. ex Juz.,Widely distributed northern China regions; northern Asia regions widely distributed.,"Occurs in lakes and marshes, ponds or streams etc. Shallow water wetland.","Perennial herb, geophyte",Plant height 70–120 cm,"Leaf blade lower part abaxial surface appearing keel-shaped projections or appearing three-angled; panicle spreading branched; infructescence round spherical-shaped, fruit inverted conical, with ridges. Flowering and fruiting period May–October.",Neo-halophyte,Aquatic or hygrophytic,"Unknown, 150 mM (estimated value)",0,C3,Ornamental,Supplemented based on field surveys
63,III. Angiosperms,Typhaceae,Typhaceae,Typha,Typha,Typha orientalis,,Typha orientalis,C.Presl,Widely distributed throughout China; Asia and Oceania also found.,Occurs in sandy shallow water wetland.,"Perennial herb, geophyte",Plant height 100–200 cm,"Leaf blade wide 0.4–0.9 cm; female male inflorescence compact lian jie; female flowers without bracteole, stigma wide spatulate, white filiform hairs and style nearly etc. Long. Flowering and fruiting period May–August.",Salt-excluding halophyte,Hygrophytic,500 mM (seawater salinity); 200 mM (20 dS/m); 70 mM (7 dS/m),Salinity tolerance value from database,C3,Ornamental,eHALOPH
64,III. Angiosperms,Typhaceae,Typhaceae,Typha,Typha,Typha latifolia,,Typha latifolia,L.,Widely distributed throughout China; Asia and Oceania also found.,Occurs in sandy shallow water wetland.,"Perennial herb, geophyte",Plant height 100–250 cm,"Leaf blade wide 0.5–1.5 cm; female style head lanceolate, white filiform hairs conspicuous short on style. Flowering and fruiting period May–August.",Salt-excluding halophyte,Hygrophytic,300 mM (29 dS/m); 180 mM (17.5 dS/m),Salinity tolerance value from database,C3,Ornamental,eHALOPH
65,III. Angiosperms,Typhaceae,Typhaceae,Typha,Typha,Typha laxmannii,,Typha laxmannii,Lepech.,"Distributed in Northeast China, North China and Northwest China; northern Asia regions widely distributed.",Occurs in sandy shallow water wetland.,"Perennial herb, geophyte",Plant height 100–130 cm,"Leaf blade wide 0.2–0.4 cm; female male inflorescence away from; male inflorescence axis with grayish white or pale yellow pubescent, apex not forked; female style head spatulate. Flowering and fruiting period June–September.",Salt-excluding halophyte,Hygrophytic,"Unknown, 500 mM (estimated value)",0,C3,Ornamental,Supplemented based on field surveys
